City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,preobrazheniye,42.9019,133.9064,279.06,89,100,5.45,RU,1683313618
115,haimen,23.1935,116.6142,297.18,93,5,2.77,CN,1683313619
116,timimoun,29.2639,0.231,308.26,7,76,2.15,DZ,1683313619
117,coos bay,43.3665,-124.2179,287.77,94,100,3.09,US,1683313619
118,zhangjiakou,40.81,114.8794,284.75,53,100,1.98,CN,1683313619
119,petropavlovsk-kamchatsky,53.0452,158.6483,273.48,86,75,3.0,RU,1683313620
120,tarhuna,32.435,13.6332,288.46,74,3,2.62,LY,1683313620
121,opatow,50.8006,21.4254,285.65,50,58,3.79,PL,1683313620
122,tuba city,36.135,-111.2399,289.05,22,76,5.6,US,1683313620
123,zaozersk,69.4005,32.4476,272.66,89,100,3.28,RU,1683313621
124,impfondo,1.6381,18.0667,299.41,70,80,1.44,CG,1683313339
125,dolores,-36.3132,-57.6792,293.79,39,12,4.53,AR,1683313533
126,aracuai,-16.8497,-42.0703,304.95,33,9,4.53,BR,1683313621
127,sao joao da barra,-21.6403,-41.0511,302.2,74,29,4.49,BR,1683313403
128,darwin,-12.4611,130.8418,299.14,89,100,0.0,AU,1683313622
129,coquimbo,-29.9533,-71.3436,290.0,63,20,4.12,CL,1683313356
130,muynoq,43.7683,59.0214,287.64,46,100,4.82,UZ,1683313623
131,avarua,-21.2078,-159.775,299.18,89,75,6.69,CK,1683313532
132,port lincoln,-34.7333,135.8667,285.63,64,51,5.85,AU,1683313623
133,noosa heads,-26.3833,153.15,288.34,72,3,1.54,AU,1683313623
134,arraial do cabo,-22.9661,-42.0278,299.07,78,0,5.14,BR,1683313624
135,grand baie,-20.0182,57.5802,297.84,78,4,0.45,MU,1683313624
136,port blair,11.6667,92.75,301.53,77,88,1.97,IN,1683313624
137,lichinga,-13.3128,35.2406,290.2,72,20,2.57,MZ,1683313625
138,kem',64.9555,34.5793,268.84,93,100,2.09,RU,1683313625
139,yuzhno-kurilsk,44.0306,145.8556,276.41,91,100,4.41,RU,1683313625
140,mount isa,-20.7333,139.5,293.02,32,0,4.12,AU,1683313625
141,tosontsengel,48.7567,98.2839,272.45,56,20,1.92,MN,1683313626
142,mazar-e sharif,36.709,67.1109,288.41,65,100,8.73,AF,1683313626
143,vilyuchinsk,52.9306,158.4028,274.3,94,100,1.05,RU,1683313626
144,ribeira grande,38.5167,-28.7,292.37,82,75,8.23,PT,1683313626
145,darnah,32.767,22.6367,289.8,84,5,9.89,LY,1683313627
146,horta,38.5333,-28.6333,291.95,92,75,8.23,PT,1683313627
147,ketchikan,55.3422,-131.6461,282.41,87,100,3.09,US,1683313600
148,nyurba,63.2842,118.3319,274.66,99,100,3.33,RU,1683313628
149,aasiaat,68.7098,-52.8699,272.42,79,100,1.77,GL,1683313628
150,taoudenni,22.6783,-3.9836,312.81,5,100,4.08,ML,1683313628
151,qinggang,46.6833,126.0833,281.03,36,23,1.63,CN,1683313522
